WITH X Position from IMU Setpoint (in cm),WITH Velocity Estimate from Encoder (in rad/s),WITHOUT X Position from IMU Setpoint (in cm),WITHOUT Velocity Estimate from Encoder (in rad/s),Time ,,,,,,,,,,
0.0625,-0.02,6.6875,0.02,0.0001041667,,,,,,,,,,
0.125,0.02,7.125,0.01,0.0002083333,,,,,,,,,,
0.1875,0.01,7.625,-0.02,0.0003125000,,,,,,,,,,
0.1875,-0.01,8.125,0,0.0004166667,,,,,,,,,,
0.25,-0.02,8.625,0,0.0005208333,,,,,,,,,,
0.25,-0.03,9.125,0,0.0006250000,,,,,,,,,,
0.25,0.04,9.625,0,0.0007291667,,,,,,,,,,
0.1875,-0.03,10.0625,0.04,0.0008333333,,,,,,,,,,
0.1875,-0.01,10.5625,0,0.0009375000,,,,,,,,,,
0.125,0.01,11.0625,-0.04,0.0010416667,,,,,,,,,,
0.0625,0.02,11.5,0.02,0.0011458333,,,,,,,,,,
0.0625,0.02,12,0.02,0.0012500000,,,,,,,,,,
0.0625,0.05,12.4375,0.02,0.0013541667,,,,,,,,,,
0.0625,-0.04,12.875,0.03,0.0014583333,,,,,,,,,,
0.0625,-0.01,13.3125,-0.02,0.0015625000,,,,,,,,,,
0.125,-0.01,13.75,0.04,0.0016666667,,,,,,,,,,
0.125,-0.03,14.1875,0.01,0.0017708333,,,,,,,,,,
0.1875,0.02,14.625,-0.01,0.0018750000,,,,,,,,,,
0.1875,-0.02,15,0.02,0.0019791667,,,,,,,,,,
0.25,0.04,15.4375,0.01,0.0020833333,,,,,,,,,,
0.25,0.04,15.875,0.01,0.0021875000,,,,,,,,,,
0.25,0,16.25,-0.01,0.0022916667,,,,,,,,,,
0.25,0,16.625,0,0.0023958333,,,,,,,,,,
0.1875,-0.02,17.0625,0.04,0.0025000000,,,,,,,,,,
0.1875,0.03,17.375,-0.06,0.0026041667,,,,,,,,,,
0.125,-0.01,17.75,-0.03,0.0027083333,,,,,,,,,,
0.125,0.01,18.0625,0.02,0.0028125000,,,,,,,,,,
0.0625,0,18.375,0,0.0029166667,,,,,,,,,,
0.0625,-0.01,18.6875,0.03,0.0030208333,,,,,,,,,,
0.0625,0.03,19,0.01,0.0031250000,,,,,,,,,,
0.125,0,19.3125,0.05,0.0032291667,,,,,,,,,,
0.125,0.03,19.625,0,0.0033333333,,,,,,,,,,
0.1875,0.06,19.9375,-0.03,0.0034375000,,,,,,,,,,
0.1875,-0.01,20.1875,0.03,0.0035416667,,,,,,,,,,
0.25,0.01,20.4375,-0.04,0.0036458333,,,,,,,,,,
0.25,-0.04,20.6875,-0.03,0.0037500000,,,,,,,,,,
0.25,0,20.9375,-0.03,0.0038541667,,,,,,,,,,
0.25,-0.01,21.1875,0.05,0.0039583333,,,,,,,,,,
0.25,0.03,21.375,-0.03,0.0040625000,,,,,,,,,,
0.25,-0.01,21.5625,0.04,0.0041666667,,,,,,,,,,
